Name,Fibered,Crossing Number,Unknotting Number,Genus-3D,Crosscap Number,Bridge Index,Braid Index,Braid Length,Signature,Thurston-Bennequin Number,Arc Index,Stick Number,Tunnel Number,Jones (vector),Genus-4D,Genus-4D (Top.),Determinant,Rasmussen s,Ozsvath-Szabo tau,Arf Invariant,Turaev Genus,Clasp Number,L-space,Epsilon,Quasialternating,Almost Alternating,Adequate,Unknotting Number-Algebraic,Ropelength
9_14,N,9,1,2,3,2,5,10,0,[-7][-4],11,[9;10],1,{-6; 3; 1; -2; 3; -5; 6; -6; 6; -4; 3; -1},1,1,37,0,0,1,0,2,No,0,Y,N,Y,1,80.0001
9_15,N,9,2,2,4,2,5,10,2,[-10][-1],11,[9;10],1,{-8; 1; -1; 2; -4; 6; -6; 7; -6; 4; -2; 1},1,1,39,-2,-1,0,0,2,No,-1,Y,N,Y,2,80.8725
9_16,N,9,3,3,3,3,3,10,-6,[5][-16],11,[9;10],1,{3; 12; 1; -1; 4; -5; 6; -7; 6; -5; 3; -1},3,3,39,6,3,0,0,3,No,1,Y,N,Y,3,80.1143
9_17,Y,9,2,3,3,2,4,9,-2,[-3][-8],11,[9;10],1,{-3; 6; 1; -2; 4; -5; 6; -7; 6; -4; 3; -1},1,1,39,2,1,0,0,3,No,1,Y,N,Y,2,80.453
9_18,N,9,2,2,4,2,4,11,-4,[3][-14],11,[9;10],1,{2; 11; 1; -2; 5; -6; 7; -7; 6; -4; 2; -1},2,2,41,4,2,0,0,2,No,1,Y,N,Y,2,81.2375
9_19,N,9,1,2,4,2,5,10,0,[-5][-6],11,[9;10],1,{-4; 5; 1; -2; 4; -6; 7; -7; 6; -4; 3; -1},1,1,41,0,0,0,0,2,No,0,Y,N,Y,1,80.9004
9_20,Y,9,2,3,3,2,4,9,-4,[1][-12],11,[9;10],1,{0; 9; 1; -2; 4; -5; 7; -7; 6; -5; 3; -1},2,2,41,4,2,0,0,3,No,1,Y,N,Y,2,80.2219
9_21,N,9,1,2,4,2,5,10,2,[-10][-1],11,[9;10],1,{-8; 1; -1; 2; -4; 6; -7; 8; -6; 5; -3; 1},1,1,43,-2,-1,1,0,2,No,-1,Y,N,Y,1,81.092
9_22,Y,9,1,3,3,3,4,9,-2,[-3][-8],11,[9;10],1,{-3; 6; 1; -2; 4; -6; 7; -7; 7; -5; 3; -1},1,1,43,2,1,1,0,3,No,1,Y,N,Y,1,81.039
9_23,N,9,2,2,4,2,4,11,-4,[3][-14],11,[9;11],1,{2; 11; 1; -2; 5; -6; 8; -8; 6; -5; 3; -1},2,2,45,4,2,1,0,2,No,1,Y,N,Y,2,81.2733
9_24,Y,9,1,3,4,3,4,9,0,[-5][-6],11,[9;10],1,{-4; 5; 1; -3; 5; -7; 8; -7; 7; -4; 2; -1},1,1,45,0,0,1,0,3,No,0,Y,N,Y,1,80.9451
9_25,N,9,2,2,4,3,5,10,-2,[-1][-10],11,[9;10],1,{-1; 8; 1; -2; 5; -7; 8; -8; 7; -5; 3; -1},1,1,47,2,1,0,0,2,No,1,Y,N,Y,1,81.1198
9_26,Y,9,1,3,4,2,4,9,2,[-9][-2],11,[9;10],1,{-7; 2; 1; -3; 5; -7; 8; -8; 7; -4; 3; -1},1,1,47,-2,-1,0,0,3,No,-1,Y,N,Y,1,80.9053
9_27,Y,9,1,3,4,2,4,9,0,[-5][-6],11,[9;10],1,{-4; 5; 1; -3; 5; -7; 9; -8; 7; -5; 3; -1},0,0,49,0,0,0,0,3,No,0,Y,N,Y,1,81.1813
